Ticket,Open,Type,Volume,Symbol,Price,SL,TP,Close,Price,Swap,Commissions,Profit,Pips,"Trade duration in seconds"
105720051,"2025-12-23 11:59:51",sell,0.01,BTCUSD,87493.26000000,0,0,"2025-12-24 21:59:50",87521.76000000,-0.73,-0.56,-0.29000000,-28.5,122399
105330295,"2025-12-22 11:59:55",buy,0.01,ETHUSD,3039.38000000,0,0,"2025-12-23 05:59:52",2991.49000000,-0.25,-0.2,-4.79000000,-47.9,64797
105346913,"2025-12-22 12:59:51",buy,0.01,BTCUSD,89742.49000000,0,0,"2025-12-22 22:59:49",88314.05000000,0,-0.58,-14.28000000,-1428.4,35998
105155410,"2025-12-21 17:00:01",sell,0.01,BNBUSD,850.63000000,0,0,"2025-12-21 21:00:01",853.41000000,0,-0.56,-2.78000000,-2.8,14400
104102489,"2025-12-17 20:59:58",sell,0.01,BNBUSD,837.89000000,0,0,"2025-12-21 13:59:58",857.36000000,-3.53,-0.55,-19.47000000,-19.5,320400
103012076,"2025-12-15 22:59:53",sell,0.01,BTCUSD,85808.37000000,0,0,"2025-12-20 02:59:50",87967.23000000,-5.08,-0.57,-21.59000000,-2158.9,359997
10466990699257759,"2025-12-18 21:59:55",sell,0.01,ETHUSD,2781.18000000,0,0,"2025-12-20 01:59:53",2978.64000000,-0.98,-0.19,-19.75000000,-197.5,100798
103012310,"2025-12-15 23:00:06",sell,0.01,BNBUSD,846.41000000,0,0,"2025-12-19 19:00:05",848.79000000,-2.83,-0.56,-2.38000000,-2.4,331199
104669906,"2025-12-18 21:59:55",sell,0.01,ETHUSD,2781.18000000,0,0,"2025-12-19 15:59:55",2960.60000000,-0.24,-0.19,-17.94000000,-179.4,64800
102877498,"2025-12-15 17:59:51",sell,0.01,BTCUSD,87011.42000000,0,0,"2025-12-19 12:59:50",88223.08000000,-2.88,-0.57,-12.12000000,-1211.7,327599
10407888398917671,"2025-12-17 19:59:54",sell,0.01,ETHUSD,2845.36000000,0,0,"2025-12-19 07:59:53",2921.79000000,-0.47,-0.18,-7.64000000,-76.4,129599
104078883,"2025-12-17 19:59:54",sell,0.01,ETHUSD,2845.36000000,0,0,"2025-12-19 05:59:53",2906.40000000,-0.47,-0.18,-6.10000000,-61,122399
